State,County,All,Yes,No
California,Amador County,608,175.0,433.0
California,Butte County,600,284.0,316.0
California,Calaveras County,161,104.0,57.0
California,Colusa County,681,453.0,228.0
California,Contra Costa County,5422,2988.0,2434.0
California,Del Norte County,388,62.0,326.0
California,El Dorado County,1511,1114.0,397.0
California,Fresno County,10461,5387.0,5074.0
California,Glenn County,625,417.0,208.0
California,Humboldt County,784,419.0,365.0
California,Imperial County,16797,4655.0,12142.0
California,Inyo County,150,84.0,66.0
California,Kern County,51206,26214.0,24992.0
California,Kings County,6062,2865.0,3197.0
California,Lake County,353,164.0,189.0
California,Lassen County,3159,1101.0,2058.0
California,Los Angeles County,85944,48093.0,37851.0
California,Madera County,4730,2865.0,1865.0
California,Marin County,7255,3910.0,3345.0
California,Mariposa County,82,40.0,42.0
California,Mendocino County,1074,609.0,465.0
California,Merced County,3766,2016.0,1750.0
California,Modoc County,76,40.0,36.0
California,Mono County,162,89.0,73.0
California,Monterey County,9766,5194.0,4572.0
California,Napa County,2799,1683.0,1116.0
California,Nevada County,592,376.0,216.0
California,Orange County,29769,19759.0,10010.0
California,Placer County,1212,778.0,434.0
California,Plumas County,40,21.0,19.0
California,Riverside County,15176,9241.0,5935.0
California,Sacramento County,10396,6512.0,3884.0
California,San Benito County,534,272.0,262.0
California,San Bernardino County,22495,15055.0,7440.0
California,San Diego County,32180,25382.0,6798.0
California,San Francisco County,8908,5117.0,3791.0
California,San Joaquin County,8545,4433.0,4112.0
California,San Luis Obispo County,5273,3086.0,2187.0
California,San Mateo County,8347,5588.0,2759.0
California,Santa Barbara County,13996,9132.0,4864.0
California,Santa Clara County,12754,5188.0,7566.0
California,Santa Cruz County,1510,791.0,719.0
California,Shasta County,374,186.0,188.0
California,Sierra County,9,6.0,3.0
California,Siskiyou County,145,95.0,50.0
California,Solano County,2883,1623.0,1260.0
California,Sonoma County,7174,4211.0,2963.0
California,Stanislaus County,5016,2995.0,2021.0
California,Sutter County,1040,660.0,380.0
California,Tehama County,772,426.0,346.0
California,Trinity County,142,85.0,57.0
California,Tulare County,5574,3017.0,2557.0
California,Tuolumne County,915,397.0,518.0
California,Ventura County,11853,7643.0,4210.0
California,Yolo County,1539,1012.0,527.0
California,Yuba County,1046,716.0,330.0
Colorado,Adams County,5130,3999.0,1131.0
Colorado,Alamosa County,144,111.0,33.0
Colorado,All,50994,33207.0,17787.0
Colorado,Arapahoe County,9877,7586.0,2291.0
Colorado,Archuleta County,43,32.0,11.0
Colorado,Baca County,15,7.0,8.0
Colorado,Bent County,20,14.0,6.0
Colorado,Boulder County,1235,954.0,281.0
Colorado,Broomfield County,588,469.0,119.0
Colorado,Chaffee County,70,52.0,18.0
Colorado,Cheyenne County,8,6.0,2.0
Colorado,Clear Creek County,124,94.0,30.0
