FIPS,countyname,state,clinton,trump,johnson,ind_cand,mcmullin,total_votes,AGI,num_returns,num_dependents,num_tot_inc,tot_inc_amt,people,turnout,fips_countyname_county,State,County,county_name,County_UA_pop,mult_counties,State_init,Statewide_UA_pop
12097,"Osceola, FL",FL,85458,50301,2811,5708,0,141467,5596871.0,146760.0,110030.0,146110.0,5664639.0,256790.0,0.550905409089,Osceola County,Florida,"Osceola County, Florida",Osceola County,11000,0,FL,610000
12099,"Palm Beach, FL",FL,374673,272402,10370,19137,0,666212,63585150.0,692560.0,372870.0,689500.0,64502565.0,1065430.0,0.625298705687,Palm Beach County,Florida,"Palm Beach County, Florida",Palm Beach County,67000,0,FL,610000
12103,"Pinellas, FL",FL,233701,239201,13627,24583,0,497485,27876372.0,463560.0,208020.0,461060.0,28291880.0,671580.0,0.740768039549,Pinellas County,Florida,"Pinellas County, Florida",Pinellas County,14000,0,FL,610000
12105,"Polk, FL",FL,117433,157430,6810,12106,0,286969,12695542.0,275310.0,189210.0,274070.0,12850922.0,464520.0,0.617775337983,Polk County,Florida,"Polk County, Florida",Polk County,18000,0,FL,610000
13063,"Clayton, GA",GA,78220,12645,1647,2715,0,93580,3908511.0,123450.0,112720.0,122820.0,3951005.0,236170.0,0.396239996613,Clayton County,Georgia,"Clayton County, Georgia",Clayton County,17000,0,GA,377000
13067,"Cobb, GA",GA,160121,152912,14466,21025,0,334058,25310826.0,345240.0,246230.0,343910.0,25686717.0,591470.0,0.564792804369,Cobb County,Georgia,"Cobb County, Georgia",Cobb County,41000,0,GA,377000
13121,"Fulton, GA",GA,297051,117783,15765,23917,0,438751,45131205.0,457280.0,307290.0,455210.0,45858585.0,764570.0,0.573853277005,Fulton County,Georgia,"Fulton County, Georgia",Fulton County,38000,0,GA,377000
13135,"Gwinnett, GA",GA,166153,146989,12494,17808,0,330950,22125085.0,400000.0,336610.0,398620.0,22433930.0,736610.0,0.449287954277,Gwinnett County,Georgia,"Gwinnett County, Georgia",Gwinnett County,76000,0,GA,377000
13139,"Hall, GA",GA,16180,51733,2307,3229,0,71142,4564220.0,82640.0,73640.0,82440.0,4628967.0,156280.0,0.455221397492,Hall County,Georgia,"Hall County, Georgia",Hall County,18000,0,GA,377000
15003,"Honolulu, HI",HI,175696,90326,10467,19768,0,285790,29504260.0,483720.0,274880.0,481820.0,29899815.0,758600.0,0.376733456367,Honolulu County,Hawaii,"Honolulu County, Hawaii",Honolulu County,15000,0,HI,21000
