State,Jurisdiction,All,Yes,No,County,Facility
Michigan,Wayne County - Detroit Reentry Center,2,1,1,Wayne County,Detroit Reentry Center
Michigan,"Chippewa County - Chippewa Regional,kinchlo",2,1,1,Chippewa County,"Chippewa Regional,kinchlo"
Michigan,Mackinac County - Mackinac County Jail,2,1,1,Mackinac County,Mackinac County Jail
Michigan,Wayne County - Det Pd 9th Prec.,2,,2,Wayne County,Det Pd 9th Prec.
Michigan,Washtenaw County - Woodland Center Corr. Facility,1,,1,Washtenaw County,Woodland Center Corr. Facility
Michigan,"Muskegon County - Muskegon Temp, Muskegon,",1,1,,Muskegon County,"Muskegon Temp, Muskegon,"
Michigan,Wayne County - Det Pd 5th Prec.,1,,1,Wayne County,Det Pd 5th Prec.
Michigan,Marquette County - Marquette Branch Prison,1,1,,Marquette County,Marquette Branch Prison
Michigan,"Ionia County - Riverside Corr,ionia,mi",1,,1,Ionia County,"Riverside Corr,ionia,mi"
Michigan,"Macomb County - Macomb Co Youth,mt Clemen",1,,1,Macomb County,"Macomb Co Youth,mt Clemen"
Michigan,Montcalm County - Carson City Correctional Facilit,1,,1,Montcalm County,Carson City Correctional Facilit
Michigan,"Marquette County - Us Marshals - Marquette, Mi",1,,1,Marquette County,Us Marshals
Michigan,"Montcalm County - Carson Cty Tem Fac,carson",1,1,,Montcalm County,"Carson Cty Tem Fac,carson"
Michigan,Keweenaw County - Keweenaw County Sheriff/Jail,1,1,,Keweenaw County,Keweenaw County Sheriff/Jail
Michigan,"Allegan County - Allegan Co Youth, All.Mi.",1,,1,Allegan County,"Allegan Co Youth, All.Mi."
Michigan,Jackson County - Parnall Correctional Facility,1,,1,Jackson County,Parnall Correctional Facility
Michigan,Gratiot County - Gratiot County Sheriff/Jail,1,,1,Gratiot County,Gratiot County Sheriff/Jail
