State,Jurisdiction,All,Yes,No,County,Facility
North Carolina,Bertie County - Bertie County Jail,9,4,5,Bertie County,Bertie County Jail
North Carolina,Wake County - Raleigh Hold Room,8,1,7,Wake County,Raleigh Hold Room
North Carolina,Pamlico County - Pamlico County Jail,7,1,6,Pamlico County,Pamlico County Jail
North Carolina,Warren County - Warren County Jail,7,3,4,Warren County,Warren County Jail
North Carolina,Hertford County - Hertford County Jail,6,2,4,Hertford County,Hertford County Jail
North Carolina,Graham County - Graham County Jail,6,2,4,Graham County,Graham County Jail
North Carolina,Northampton County - Northampton County Jail,5,1,4,Northampton County,Northampton County Jail
North Carolina,Wake County - Wake County Juv. Det. Center,5,5,,Wake County,Wake County Juv. Det. Center
North Carolina,Mitchell County - Mitchell County Jail,5,3,2,Mitchell County,Mitchell County Jail
North Carolina,Granville County - Bop Butner Low Fci,4,,4,Granville County,Bop Butner Low Fci
North Carolina,Chowan County - Chowan County Jail,3,1,2,Chowan County,Chowan County Jail
North Carolina,Wayne County - Nuese Correctional Institution,3,1,2,Wayne County,Nuese Correctional Institution
North Carolina,Tyrrell County - Tyrrell County Jail,2,,2,Tyrrell County,Tyrrell County Jail
North Carolina,Craven County - Craven Correctional Institution,1,1,,Craven County,Craven Correctional Institution
