FIPS,State,County,State_init,county_plus_init,total_detained,ICE_custody,No_ICE_custody,pct_ice,clinton,pct_clinton,trump,johnson,ind_cand,mcmullin,total_votes,turnout,people,tot_inc_amt,inc_per_person
13015,Georgia,Bartow County,GA,"Bartow County, GA",535.0,197.0,338.0,0.36822429906542054,8212.0,0.2066795862381396,29911.0,1183.0,1610.0,0.0,39733.0,0.5115617355478306,77670.0,2066841.0,26.610544611819236
13019,Georgia,Berrien County,GA,"Berrien County, GA",33.0,7.0,26.0,0.21212121212121213,1047.0,0.15887708649468893,5422.0,115.0,121.0,0.0,6590.0,0.5491666666666667,12000.0,247697.0,20.641416666666668
13021,Georgia,Bibb County,GA,"Bibb County, GA",430.0,138.0,292.0,0.3209302325581395,36787.0,0.5876893092210365,24043.0,1447.0,1766.0,0.0,62596.0,0.5343235168587281,117150.0,3246739.0,27.714374733247972
13023,Georgia,Bleckley County,GA,"Bleckley County, GA",25.0,6.0,19.0,0.24,1101.0,0.22135102533172496,3719.0,123.0,154.0,0.0,4974.0,0.5928486293206198,8390.0,210022.0,25.032419547079858
13025,Georgia,Brantley County,GA,"Brantley County, GA",10.0,4.0,6.0,0.4,619.0,0.09823837486113315,5567.0,106.0,115.0,0.0,6301.0,0.5403945111492281,11660.0,237315.0,20.352915951972555
13027,Georgia,Brooks County,GA,"Brooks County, GA",129.0,76.0,53.0,0.5891472868217055,2528.0,0.398989898989899,3701.0,89.0,107.0,0.0,6336.0,0.5739130434782609,11040.0,237018.0,21.469021739130437
13029,Georgia,Bryan County,GA,"Bryan County, GA",40.0,21.0,19.0,0.525,4014.0,0.2645488697027615,10529.0,542.0,630.0,0.0,15173.0,0.5108754208754209,29700.0,967596.0,32.578989898989896
13031,Georgia,Bulloch County,GA,"Bulloch County, GA",156.0,58.0,98.0,0.3717948717948718,9261.0,0.3658160846895244,15097.0,890.0,958.0,0.0,25316.0,0.5708229988726042,44350.0,1181282.0,26.635445321307778
13033,Georgia,Burke County,GA,"Burke County, GA",31.0,18.0,13.0,0.5806451612903226,4731.0,0.505935194096888,4491.0,129.0,129.0,0.0,9351.0,0.5337328767123287,17520.0,378392.0,21.597716894977168
13035,Georgia,Butts County,GA,"Butts County, GA",228.0,80.0,148.0,0.3508771929824561,2566.0,0.269707799033004,6717.0,194.0,231.0,0.0,9514.0,0.5901985111662531,16120.0,418431.0,25.95725806451613
13037,Georgia,Calhoun County,GA,"Calhoun County, GA",3.0,1.0,2.0,0.3333333333333333,1179.0,0.5822222222222222,830.0,16.0,16.0,0.0,2025.0,0.5428954423592494,3730.0,67095.0,17.987935656836463
13039,Georgia,Camden County,GA,"Camden County, GA",48.0,28.0,20.0,0.5833333333333334,5930.0,0.3109759295191148,12310.0,629.0,829.0,0.0,19069.0,0.5130212536992198,37170.0,1007931.0,27.11678773204197
13043,Georgia,Candler County,GA,"Candler County, GA",25.0,7.0,18.0,0.28,1026.0,0.27265479670475684,2664.0,73.0,73.0,0.0,3763.0,0.49383202099737533,7620.0,151547.0,19.888057742782152
13045,Georgia,Carroll County,GA,"Carroll County, GA",247.0,127.0,120.0,0.5141700404858299,12464.0,0.2803481859690951,30029.0,1346.0,1966.0,0.0,44459.0,0.516184836874492,86130.0,2332505.0,27.081214443283407
13047,Georgia,Catoosa County,GA,"Catoosa County, GA",60.0,25.0,35.0,0.4166666666666667,4771.0,0.17709725315515962,20876.0,881.0,1293.0,0.0,26940.0,0.6002673796791443,44880.0,1275854.0,28.42811942959002
13049,Georgia,Charlton County,GA,"Charlton County, GA",3740.0,2334.0,1406.0,0.6240641711229946,1004.0,0.25,2951.0,54.0,61.0,0.0,4016.0,0.6354430379746835,6320.0,137630.0,21.776898734177216
13051,Georgia,Chatham County,GA,"Chatham County, GA",681.0,301.0,380.0,0.4419970631424376,62290.0,0.5509902610326313,45688.0,3503.0,5073.0,0.0,113051.0,0.5414579242300877,208790.0,7111766.0,34.06181330523493
13053,Georgia,Chattahoochee County,GA,"Chattahoochee County, GA",19.0,1.0,18.0,0.05263157894736842,594.0,0.4273381294964029,751.0,45.0,45.0,0.0,1390.0,0.23205342237061768,5990.0,113197.0,18.897662771285475
13055,Georgia,Chattooga County,GA,"Chattooga County, GA",32.0,10.0,22.0,0.3125,1613.0,0.19546776539020844,6462.0,177.0,177.0,0.0,8252.0,0.48973293768545995,16850.0,351420.0,20.855786350148367
13057,Georgia,Cherokee County,GA,"Cherokee County, GA",1129.0,515.0,614.0,0.4561558901682905,25231.0,0.22371081004397786,80649.0,5015.0,6904.0,0.0,112784.0,0.6172166584578339,182730.0,7153104.0,39.145756033492034
13059,Georgia,Clarke County,GA,"Clarke County, GA",490.0,141.0,349.0,0.28775510204081634,29603.0,0.6509587474711936,12717.0,2019.0,3156.0,0.0,45476.0,0.6058619770849987,75060.0,2197032.0,29.270343725019984
13061,Georgia,Clay County,GA,"Clay County, GA",55.0,25.0,30.0,0.45454545454545453,697.0,0.5475255302435192,566.0,8.0,10.0,0.0,1273.0,0.5866359447004609,2170.0,31789.0,14.64930875576037
